Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Manuel Joaquim Pinto (MJP),2017,1243287,Casa da Palmeira Reserva 2017,4.2,47,12.8,Portugal,Douro
Casa da Passarella,2017,1597554,Villa Oliveira Tinto 2017,0.0,7,47.0,Portugal,Dão
Palmeirim D'Inglaterra,2021,4383763,Tinto 2021,0.0,0,9.8,Portugal,Trás-os-Montes
Quinta do Crasto,2007,1293594,Vinha Maria Teresa 2007,4.7,433,480.0,Portugal,Douro
São Domingos,2021,1904675,Quinta de S. Lourenço Tinto 2021,0.0,0,3.49,Portugal,Bairrada
UDACA,2020,1192305,Dom Divino Tinto 2020,3.7,146,3.49,Portugal,Dão
Escaravelho,2018,8138909,Tinto 2018,0.0,7,18.5,Portugal,Tejo
Portalegre,2013,1212365,Tinto 2013,4.0,124,19.99,Portugal,Alentejo
Herdade dos Coteis,2019,1500042,Grande Escolha 2019,4.2,59,21.7,Portugal,Alentejano
Antonio Bernardino Paulo da Silva,2000,1245309,Colares Chitas Tinto 2000,3.9,176,39.5,Portugal,Colares
Selores,2018,5039586,Premium 2018,4.4,48,19.99,Portugal,Douro
Quinta Nova de Nossa Senhora do Carmo,2017,1269166,Grainha Reserva 2017,4.1,1134,14.75,Portugal,Douro
Quinta da Biaia,2016,5937723,Reserva Tinto 2016,0.0,16,15.95,Portugal,Beira Interior
Castelo de Azurara,2017,6852725,Alfrocheiro 2017,0.0,7,7.9,Portugal,Dão
Falua,1999,1588687,Duas Castas 1999,0.0,0,3.99,Portugal,Ribatejo
Quinta de São Sebastião,2016,2646730,Colheita 2016,3.7,160,7.95,Portugal,Lisboa
Francisco Nunes Garcia,1999,1807394,Aragonês 1999,0.0,24,45.0,Portugal,Alentejo
Castelo de Azurara,2014,1578909,Reserva 2014,0.0,5,7.9,Portugal,Dão
